19850101	100	50	5
19850102	110	55	10
19850103	-9999	60	15
19850104	120	-9999	0
19850105	115	58	-9999
19850601	250	180	25
19850602	255	185	30
19850603	260	190	35
19850604	-9999	-9999	-9999
19860101	95	45	8
19860102	105	48	12
19860103	108	52	18
19860601	245	175	22
19860602	252	182	28
19870101	102	47	6
19870102	98	44	10
19870601	248	178	24
19870602	253	183	32
19880101	100	46	7
19880102	105	49	11
19880601	251	180	26
19880602	256	185	33
19890101	103	48	9
19890102	107	51	13
19890601	249	179	25
19890602	254	184	31
19900101	101	47	8
19900102	106	50	12
19900601	250	180	27
19900602	255	185	34
