19850101	88	35	3
19850102	92	38	5
19850103	95	40	8
19850104	98	42	10
19850105	96	39	6
19850601	220	160	18
19850602	225	165	22
19850603	230	170	26
19850604	235	175	30
19860101	85	32	2
19860102	90	36	4
19860103	93	39	7
19860601	218	158	16
19860602	223	163	20
19870101	87	34	3
19870102	91	37	5
19870601	221	161	19
19870602	226	166	23
19880101	86	33	2
19880102	89	35	4
19880601	219	159	17
19880602	224	164	21
19890101	88	34	3
19890102	92	37	5
19890601	220	160	18
19890602	225	165	22
19900101	87	33	2
19900102	91	36	4
19900601	222	162	20
19900602	227	167	24
