19850101	122	62	12
19850102	128	65	18
19850103	135	70	22
19850104	140	72	28
19850105	138	68	24
19850601	280	200	40
19850602	285	205	45
19850603	290	210	50
19850604	295	215	55
19860101	120	60	10
19860102	125	63	15
19860103	130	66	20
19860601	275	198	38
19860602	282	203	43
19870101	118	58	8
19870102	124	61	14
19870601	278	201	41
19870602	284	206	46
19880101	121	59	9
19880102	127	64	16
19880601	279	202	42
19880602	286	207	47
19890101	119	57	7
19890102	126	62	13
19890601	277	199	39
19890602	283	204	44
19900101	123	61	11
19900102	129	66	17
19900601	281	203	43
19900602	287	208	48
